RaceNumber,FirstName,LastName,Position,Points
533,Атанаска,ГЕОРГИЕВА,1,25
10,Никол,ИЛИЕВА,2,22
750,Рая,МОНЕВА,3,20
407,Преслава,ГЕОРГИЕВА,4,18
