RaceNumber,FirstName,LastName,Position,Points
728,Никола,ТЕРЗИЕВ,1,25
775,Георги,ВЪЛЕВ,2,22
665,Иван,ИВАНОВ,3,20
235,Даниел,ВАСИЛЕВ,4,18
282,Александър,ПИРИШАНЧИН,5,16
913,Мирослав,КЕРАНДЖИЕВ,6,15
521,Адриан,ЦЕКОВ,7,14
166,Иван,ЧАКЪРОВ,8,13
