RaceNumber,FirstName,LastName,Position,Points
10,Никол,ИЛИЕВА,1,25
750,Рая,МОНЕВА,2,22
407,Преслава,ГЕОРГИЕВА,3,20
533,Атанаска,ГЕОРГИЕВА,4,18
334,Цветомира,ГЕОРГИЕВА,6,15
706,Владислава,СЛАВОВА,7,14
