RaceNumber,FirstName,LastName,Position,Points
775,Георги,ВЪЛЕВ,1,25
235,Даниел,ВАСИЛЕВ,2,22
728,Никола,ТЕРЗИЕВ,3,20
282,Александър,ПИРИШАНЧИН,4,18
913,Мирослав,КЕРАНДЖИЕВ,5,16
521,Адриан,ЦЕКОВ,6,15
665,Иван,ИВАНОВ,7,14
155,Петър,КРАЧУНОВ,15,11
