RaceNumber,FirstName,LastName,Position,Points
533,Атанаска,ГЕОРГИЕВА,1,25
750,Рая,МОНЕВА,2,22
407,Преслава,ГЕОРГИЕВА,3,20
706,Владислава,СЛАВОВА,6,
