N,Ст.№,Състезател,Име,Фамилия,username,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,30,Илиян КУЗМАНОВ,Илиян,КУЗМАНОВ,iliyan.kuzmanov.30,СК АФГ ТИМ,Honda,222,22,25,22,0,22,25,25
2,125,Десислав ЦЕКОВ,Десислав,ЦЕКОВ,desislav.tsekov.125,МСК ХАРД РАЙДЪРС,Husqvarna TE300,173,25,18,25,0,14,22,22
3,78,Мирослав ДИМИТРОВ,Мирослав,ДИМИТРОВ,miroslav.dimitrov.78,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,KTM EXC 300,166,9,22,16,22,11,16,20
4,292,Светослав ХРИСТОВ,Светослав,ХРИСТОВ,svetoslav.hristov.292,СК КЪРТАЧИТЕ,ktm 250,158,,11,18,25,15,18,16
5,411,Калоян ТОТЕВ,Калоян,ТОТЕВ,kaloyan.totev.411,МСК БАВИЧКА РЕЙСИНГ,KTM EXC 300,157,18,20,20,16,16,20,15
6,666,Цветан ДЕНЕВ,Цветан,ДЕНЕВ,tsvetan.denev.666,АЛБА ДАМАСЦЕНА МСК,KTM 300 EXC,146,20,15,15,13,25,14,14
7,64,Радослав ТРАЯНОВ,Радослав,ТРАЯНОВ,radoslav.trayanov.64,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,Husqvarna TE300,127,13,7,14,18,18,15,18
8,188,Ивелин ИВАНОВ,Ивелин,ИВАНОВ,ivelin.ivanov.188,АЛБА ДАМАСЦЕНА МСК,Гас Гас ЕС 300,80,6,14,9,,8,,8
9,83,Лъчезар ВУНЧЕВ,Лъчезар,ВУНЧЕВ,lachezar.vunchev.83,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM 300,80,11,16,0,20,9,13,
10,79,Павел ИВАНОВ,Павел,ИВАНОВ,pavel.ivanov.79,СК КЪРТАЧИТЕ,Gas Gas,70,16,13,12,15,7,,
